"customer_id","first_name","last_name","email","phone","registration_date","customer_type","credit_score"
67,"User67","Test67","user67@example.com","555-01067","2020-08-01","Individual",678
68,"User68","Test68","user68@example.com","555-01068","2022-09-14","Premium",569
69,"User69","Test69","user69@example.com","555-01069","2021-03-07","Individual",579
70,"User70","Test70","user70@example.com","555-01070","2022-02-14","Business",723
71,"User71","Test71","user71@example.com","555-01071","2020-06-13","Individual",609
72,"User72","Test72","user72@example.com","555-01072","2020-11-15","Individual",544
73,"User73","Test73","user73@example.com","555-01073","2020-06-09","Business",569
74,"User74","Test74","user74@example.com","555-01074","2021-08-04","Premium",713
75,"User75","Test75","user75@example.com","555-01075","2022-03-12","Premium",708
76,"User76","Test76","user76@example.com","555-01076","2021-10-15","Business",688
77,"User77","Test77","user77@example.com","555-01077","2020-05-19","Premium",740
78,"User78","Test78","user78@example.com","555-01078","2021-02-01","Premium",521
79,"User79","Test79","user79@example.com","555-01079","2020-10-20","Premium",654
80,"User80","Test80","user80@example.com","555-01080","2022-03-30","Individual",720
81,"User81","Test81","user81@example.com","555-01081","2022-08-28","Premium",718
82,"User82","Test82","user82@example.com","555-01082","2020-06-30","Individual",565
83,"User83","Test83","user83@example.com","555-01083","2021-07-18","Premium",723
84,"User84","Test84","user84@example.com","555-01084","2021-03-16","Business",633
85,"User85","Test85","user85@example.com","555-01085","2021-06-18","Individual",849
86,"User86","Test86","user86@example.com","555-01086","2021-03-07","Individual",656
87,"User87","Test87","user87@example.com","555-01087","2020-07-25","Business",593
88,"User88","Test88","user88@example.com","555-01088","2021-07-25","Business",733
89,"User89","Test89","user89@example.com","555-01089","2020-01-30","Premium",520
90,"User90","Test90","user90@example.com","555-01090","2022-02-02","Business",748
91,"User91","Test91","user91@example.com","555-01091","2021-08-14","Business",703
92,"User92","Test92","user92@example.com","555-01092","2022-05-06","Business",707
93,"User93","Test93","user93@example.com","555-01093","2022-02-18","Individual",596
94,"User94","Test94","user94@example.com","555-01094","2021-07-15","Individual",646
95,"User95","Test95","user95@example.com","555-01095","2020-09-14","Premium",696
96,"User96","Test96","user96@example.com","555-01096","2022-12-22","Premium",811
97,"User97","Test97","user97@example.com","555-01097","2022-09-09","Individual",525
98,"User98","Test98","user98@example.com","555-01098","2022-09-19","Individual",567
99,"User99","Test99","user99@example.com","555-01099","2020-09-26","Business",577
100,"User100","Test100","user100@example.com","555-01010","2022-11-01","Premium",655
101,"User101","Test101","user101@example.com","555-01010","2020-07-03","Individual",802
102,"User102","Test102","user102@example.com","555-01010","2022-11-11","Premium",793
103,"User103","Test103","user103@example.com","555-01010","2022-02-05","Premium",608
104,"User104","Test104","user104@example.com","555-01010","2021-09-21","Premium",599
105,"User105","Test105","user105@example.com","555-01010","2020-01-25","Premium",592
106,"User106","Test106","user106@example.com","555-01010","2022-05-04","Individual",848
107,"User107","Test107","user107@example.com","555-01010","2022-06-07","Individual",729
108,"User108","Test108","user108@example.com","555-01010","2021-02-22","Individual",742
109,"User109","Test109","user109@example.com","555-01010","2021-11-01","Individual",661
110,"User110","Test110","user110@example.com","555-01011","2021-12-03","Individual",733
111,"User111","Test111","user111@example.com","555-01011","2021-08-13","Premium",538
112,"User112","Test112","user112@example.com","555-01011","2020-06-15","Premium",805
113,"User113","Test113","user113@example.com","555-01011","2021-04-10","Business",755
114,"User114","Test114","user114@example.com","555-01011","2020-01-31","Premium",561
115,"User115","Test115","user115@example.com","555-01011","2022-10-15","Individual",697
116,"User116","Test116","user116@example.com","555-01011","2022-12-24","Premium",789
117,"User117","Test117","user117@example.com","555-01011","2022-08-20","Individual",556
118,"User118","Test118","user118@example.com","555-01011","2021-01-05","Premium",804
119,"User119","Test119","user119@example.com","555-01011","2021-04-06","Business",640
120,"User120","Test120","user120@example.com","555-01012","2021-11-18","Individual",769
121,"User121","Test121","user121@example.com","555-01012","2022-06-21","Premium",640
122,"User122","Test122","user122@example.com","555-01012","2022-02-20","Individual",601
123,"User123","Test123","user123@example.com","555-01012","2020-05-30","Business",623
124,"User124","Test124","user124@example.com","555-01012","2021-09-15","Premium",754
125,"User125","Test125","user125@example.com","555-01012","2020-03-29","Premium",707
126,"User126","Test126","user126@example.com","555-01012","2020-03-02","Premium",661
127,"User127","Test127","user127@example.com","555-01012","2022-12-03","Premium",593
128,"User128","Test128","user128@example.com","555-01012","2020-01-09","Business",607
129,"User129","Test129","user129@example.com","555-01012","2020-10-08","Business",576
130,"User130","Test130","user130@example.com","555-01013","2020-01-05","Individual",661
131,"User131","Test131","user131@example.com","555-01013","2021-06-02","Premium",679
132,"User132","Test132","user132@example.com","555-01013","2020-09-13","Individual",610
133,"User133","Test133","user133@example.com","555-01013","2021-12-28","Premium",778
134,"User134","Test134","user134@example.com","555-01013","2021-10-19","Premium",651
135,"User135","Test135","user135@example.com","555-01013","2021-02-10","Premium",812
136,"User136","Test136","user136@example.com","555-01013","2021-06-13","Individual",669
137,"User137","Test137","user137@example.com","555-01013","2022-09-25","Premium",580
138,"User138","Test138","user138@example.com","555-01013","2020-05-29","Premium",677
139,"User139","Test139","user139@example.com","555-01013","2022-06-04","Individual",776
140,"User140","Test140","user140@example.com","555-01014","2021-01-01","Individual",568
141,"User141","Test141","user141@example.com","555-01014","2022-03-19","Premium",731
142,"User142","Test142","user142@example.com","555-01014","2022-09-22","Premium",539
143,"User143","Test143","user143@example.com","555-01014","2020-04-27","Individual",726
144,"User144","Test144","user144@example.com","555-01014","2022-07-13","Business",827
145,"User145","Test145","user145@example.com","555-01014","2021-01-04","Premium",545
146,"User146","Test146","user146@example.com","555-01014","2022-06-12","Premium",721
147,"User147","Test147","user147@example.com","555-01014","2021-11-26","Business",615
148,"User148","Test148","user148@example.com","555-01014","2022-02-26","Business",513
149,"User149","Test149","user149@example.com","555-01014","2021-08-04","Premium",595
150,"User150","Test150","user150@example.com","555-01015","2022-09-09","Individual",728
151,"User151","Test151","user151@example.com","555-01015","2020-12-18","Premium",845
152,"User152","Test152","user152@example.com","555-01015","2022-08-09","Individual",739
153,"User153","Test153","user153@example.com","555-01015","2020-04-13","Premium",721
154,"User154","Test154","user154@example.com","555-01015","2021-04-02","Premium",850
155,"User155","Test155","user155@example.com","555-01015","2020-01-14","Individual",767
156,"User156","Test156","user156@example.com","555-01015","2022-10-10","Business",540
157,"User157","Test157","user157@example.com","555-01015","2021-07-16","Individual",634
158,"User158","Test158","user158@example.com","555-01015","2021-09-25","Individual",557
159,"User159","Test159","user159@example.com","555-01015","2020-04-19","Business",607
160,"User160","Test160","user160@example.com","555-01016","2020-09-07","Individual",768
161,"User161","Test161","user161@example.com","555-01016","2022-04-07","Business",672
162,"User162","Test162","user162@example.com","555-01016","2020-10-06","Business",509
163,"User163","Test163","user163@example.com","555-01016","2020-08-06","Individual",537
164,"User164","Test164","user164@example.com","555-01016","2020-12-21","Individual",663
165,"User165","Test165","user165@example.com","555-01016","2022-12-10","Individual",799
166,"User166","Test166","user166@example.com","555-01016","2020-09-03","Premium",518
167,"User167","Test167","user167@example.com","555-01016","2020-10-08","Premium",701
168,"User168","Test168","user168@example.com","555-01016","2021-02-13","Premium",576
169,"User169","Test169","user169@example.com","555-01016","2022-12-05","Individual",826
170,"User170","Test170","user170@example.com","555-01017","2020-12-25","Individual",654
171,"User171","Test171","user171@example.com","555-01017","2020-08-24","Business",504
172,"User172","Test172","user172@example.com","555-01017","2020-11-28","Individual",795
173,"User173","Test173","user173@example.com","555-01017","2020-08-12","Business",501
174,"User174","Test174","user174@example.com","555-01017","2022-10-29","Premium",517
175,"User175","Test175","user175@example.com","555-01017","2022-02-24","Individual",830
176,"User176","Test176","user176@example.com","555-01017","2021-08-28","Premium",679
177,"User177","Test177","user177@example.com","555-01017","2021-09-06","Business",805
178,"User178","Test178","user178@example.com","555-01017","2021-05-21","Individual",839
179,"User179","Test179","user179@example.com","555-01017","2020-01-30","Individual",566
180,"User180","Test180","user180@example.com","555-01018","2022-04-14","Premium",584
181,"User181","Test181","user181@example.com","555-01018","2022-08-16","Individual",849
182,"User182","Test182","user182@example.com","555-01018","2020-04-18","Premium",698
183,"User183","Test183","user183@example.com","555-01018","2022-08-12","Premium",616
184,"User184","Test184","user184@example.com","555-01018","2020-09-24","Business",794
185,"User185","Test185","user185@example.com","555-01018","2021-07-25","Premium",849
186,"User186","Test186","user186@example.com","555-01018","2022-06-09","Individual",772
187,"User187","Test187","user187@example.com","555-01018","2020-02-06","Business",576
188,"User188","Test188","user188@example.com","555-01018","2020-09-03","Business",834
189,"User189","Test189","user189@example.com","555-01018","2022-10-05","Premium",549
190,"User190","Test190","user190@example.com","555-01019","2020-03-13","Premium",793
191,"User191","Test191","user191@example.com","555-01019","2022-12-13","Business",646
192,"User192","Test192","user192@example.com","555-01019","2020-08-04","Individual",592
193,"User193","Test193","user193@example.com","555-01019","2021-06-16","Business",691
194,"User194","Test194","user194@example.com","555-01019","2020-04-15","Individual",564
195,"User195","Test195","user195@example.com","555-01019","2021-08-11","Individual",623
196,"User196","Test196","user196@example.com","555-01019","2022-12-03","Individual",554
197,"User197","Test197","user197@example.com","555-01019","2020-05-24","Individual",738
198,"User198","Test198","user198@example.com","555-01019","2021-12-14","Business",789
199,"User199","Test199","user199@example.com","555-01019","2022-03-07","Business",650
200,"User200","Test200","user200@example.com","555-01020","2020-10-25","Business",542
201,"User201","Test201","user201@example.com","555-01020","2022-05-04","Premium",836
202,"User202","Test202","user202@example.com","555-01020","2022-09-22","Individual",542
203,"User203","Test203","user203@example.com","555-01020","2020-02-02","Individual",530
204,"User204","Test204","user204@example.com","555-01020","2020-01-21","Business",707
205,"User205","Test205","user205@example.com","555-01020","2021-07-04","Individual",717
206,"User206","Test206","user206@example.com","555-01020","2022-07-17","Individual",538
207,"User207","Test207","user207@example.com","555-01020","2021-10-28","Business",782
208,"User208","Test208","user208@example.com","555-01020","2021-10-30","Premium",593
209,"User209","Test209","user209@example.com","555-01020","2021-12-25","Premium",730
210,"User210","Test210","user210@example.com","555-01021","2021-06-05","Business",506
211,"User211","Test211","user211@example.com","555-01021","2020-10-14","Business",687
212,"User212","Test212","user212@example.com","555-01021","2021-09-13","Individual",571
213,"User213","Test213","user213@example.com","555-01021","2021-04-29","Business",543
214,"User214","Test214","user214@example.com","555-01021","2022-07-25","Business",563
215,"User215","Test215","user215@example.com","555-01021","2021-04-08","Premium",512
216,"User216","Test216","user216@example.com","555-01021","2020-05-13","Business",763
217,"User217","Test217","user217@example.com","555-01021","2022-09-25","Premium",738
218,"User218","Test218","user218@example.com","555-01021","2020-06-03","Premium",684
219,"User219","Test219","user219@example.com","555-01021","2020-06-22","Business",691
220,"User220","Test220","user220@example.com","555-01022","2022-01-03","Business",525
221,"User221","Test221","user221@example.com","555-01022","2022-04-20","Business",638
222,"User222","Test222","user222@example.com","555-01022","2022-11-16","Individual",731
223,"User223","Test223","user223@example.com","555-01022","2020-09-07","Premium",584
224,"User224","Test224","user224@example.com","555-01022","2021-03-17","Business",741
225,"User225","Test225","user225@example.com","555-01022","2022-02-17","Premium",659
226,"User226","Test226","user226@example.com","555-01022","2022-06-27","Business",759
227,"User227","Test227","user227@example.com","555-01022","2022-02-08","Business",837
228,"User228","Test228","user228@example.com","555-01022","2020-10-07","Individual",638
229,"User229","Test229","user229@example.com","555-01022","2022-10-09","Individual",670
230,"User230","Test230","user230@example.com","555-01023","2021-02-26","Business",711
231,"User231","Test231","user231@example.com","555-01023","2020-05-03","Individual",689
232,"User232","Test232","user232@example.com","555-01023","2021-11-30","Individual",556
233,"User233","Test233","user233@example.com","555-01023","2022-05-09","Individual",720
234,"User234","Test234","user234@example.com","555-01023","2021-05-01","Individual",745
235,"User235","Test235","user235@example.com","555-01023","2021-09-24","Individual",619
236,"User236","Test236","user236@example.com","555-01023","2020-07-05","Premium",754
237,"User237","Test237","user237@example.com","555-01023","2021-03-04","Individual",626
238,"User238","Test238","user238@example.com","555-01023","2022-05-17","Premium",828
239,"User239","Test239","user239@example.com","555-01023","2021-03-02","Premium",800
240,"User240","Test240","user240@example.com","555-01024","2022-12-02","Business",535
241,"User241","Test241","user241@example.com","555-01024","2020-01-03","Business",686
242,"User242","Test242","user242@example.com","555-01024","2020-08-28","Premium",843
243,"User243","Test243","user243@example.com","555-01024","2020-09-20","Business",647
244,"User244","Test244","user244@example.com","555-01024","2022-10-08","Business",758
245,"User245","Test245","user245@example.com","555-01024","2021-05-27","Business",663
246,"User246","Test246","user246@example.com","555-01024","2020-05-27","Premium",644
247,"User247","Test247","user247@example.com","555-01024","2020-04-07","Premium",741
248,"User248","Test248","user248@example.com","555-01024","2022-03-18","Individual",552
249,"User249","Test249","user249@example.com","555-01024","2020-02-10","Individual",661
250,"User250","Test250","user250@example.com","555-01025","2022-06-04","Premium",774
251,"User251","Test251","user251@example.com","555-01025","2020-04-30","Individual",744
252,"User252","Test252","user252@example.com","555-01025","2022-08-20","Business",620
253,"User253","Test253","user253@example.com","555-01025","2020-12-12","Premium",515
254,"User254","Test254","user254@example.com","555-01025","2022-01-16","Business",775
255,"User255","Test255","user255@example.com","555-01025","2022-08-30","Individual",579
256,"User256","Test256","user256@example.com","555-01025","2020-08-03","Business",582
257,"User257","Test257","user257@example.com","555-01025","2022-07-02","Premium",516
258,"User258","Test258","user258@example.com","555-01025","2020-03-16","Individual",594
259,"User259","Test259","user259@example.com","555-01025","2022-12-17","Individual",669
260,"User260","Test260","user260@example.com","555-01026","2021-06-18","Premium",552
261,"User261","Test261","user261@example.com","555-01026","2020-03-06","Individual",834
262,"User262","Test262","user262@example.com","555-01026","2022-06-16","Premium",804
263,"User263","Test263","user263@example.com","555-01026","2022-04-22","Premium",646
264,"User264","Test264","user264@example.com","555-01026","2020-05-28","Premium",722
265,"User265","Test265","user265@example.com","555-01026","2020-08-11","Business",506
266,"User266","Test266","user266@example.com","555-01026","2020-08-21","Business",686
267,"User267","Test267","user267@example.com","555-01026","2022-03-13","Premium",621
268,"User268","Test268","user268@example.com","555-01026","2021-05-25","Business",572
269,"User269","Test269","user269@example.com","555-01026","2022-01-04","Individual",782
270,"User270","Test270","user270@example.com","555-01027","2022-03-20","Business",640
271,"User271","Test271","user271@example.com","555-01027","2021-11-10","Premium",723
272,"User272","Test272","user272@example.com","555-01027","2022-02-23","Business",757
273,"User273","Test273","user273@example.com","555-01027","2020-03-14","Business",721
274,"User274","Test274","user274@example.com","555-01027","2022-11-11","Individual",638
275,"User275","Test275","user275@example.com","555-01027","2020-03-05","Individual",812
276,"User276","Test276","user276@example.com","555-01027","2021-04-11","Individual",731
277,"User277","Test277","user277@example.com","555-01027","2020-07-06","Business",589
278,"User278","Test278","user278@example.com","555-01027","2021-05-13","Individual",648
279,"User279","Test279","user279@example.com","555-01027","2022-05-06","Individual",734
280,"User280","Test280","user280@example.com","555-01028","2020-07-09","Premium",715
281,"User281","Test281","user281@example.com","555-01028","2020-07-20","Business",532
282,"User282","Test282","user282@example.com","555-01028","2020-03-27","Premium",831
283,"User283","Test283","user283@example.com","555-01028","2020-08-10","Premium",701
284,"User284","Test284","user284@example.com","555-01028","2021-04-23","Individual",775
285,"User285","Test285","user285@example.com","555-01028","2020-04-21","Business",558
286,"User286","Test286","user286@example.com","555-01028","2021-10-04","Individual",560
287,"User287","Test287","user287@example.com","555-01028","2020-07-15","Business",810
288,"User288","Test288","user288@example.com","555-01028","2021-09-03","Business",794
289,"User289","Test289","user289@example.com","555-01028","2021-11-08","Premium",713
290,"User290","Test290","user290@example.com","555-01029","2021-07-17","Premium",648
291,"User291","Test291","user291@example.com","555-01029","2022-09-13","Business",655
292,"User292","Test292","user292@example.com","555-01029","2020-04-28","Business",673
293,"User293","Test293","user293@example.com","555-01029","2021-06-18","Premium",737
294,"User294","Test294","user294@example.com","555-01029","2021-11-28","Premium",571
295,"User295","Test295","user295@example.com","555-01029","2022-01-12","Business",807
296,"User296","Test296","user296@example.com","555-01029","2020-02-04","Premium",772
297,"User297","Test297","user297@example.com","555-01029","2020-04-02","Premium",687
298,"User298","Test298","user298@example.com","555-01029","2021-05-04","Individual",709
299,"User299","Test299","user299@example.com","555-01029","2022-10-13","Premium",664
300,"User300","Test300","user300@example.com","555-01030","2020-10-21","Premium",840
301,"User301","Test301","user301@example.com","555-01030","2022-04-04","Premium",803
302,"User302","Test302","user302@example.com","555-01030","2021-10-18","Business",609
303,"User303","Test303","user303@example.com","555-01030","2022-04-27","Business",602
304,"User304","Test304","user304@example.com","555-01030","2020-10-16","Business",524
305,"User305","Test305","user305@example.com","555-01030","2022-10-14","Premium",580
306,"User306","Test306","user306@example.com","555-01030","2020-07-12","Individual",731
307,"User307","Test307","user307@example.com","555-01030","2022-12-21","Individual",821
308,"User308","Test308","user308@example.com","555-01030","2021-12-12","Business",700
309,"User309","Test309","user309@example.com","555-01030","2022-03-27","Individual",842
310,"User310","Test310","user310@example.com","555-01031","2020-08-09","Individual",502
311,"User311","Test311","user311@example.com","555-01031","2021-04-28","Premium",671
312,"User312","Test312","user312@example.com","555-01031","2020-05-27","Business",720
313,"User313","Test313","user313@example.com","555-01031","2020-02-05","Business",789
314,"User314","Test314","user314@example.com","555-01031","2020-12-13","Individual",508
315,"User315","Test315","user315@example.com","555-01031","2021-01-26","Business",528
316,"User316","Test316","user316@example.com","555-01031","2020-05-29","Business",760
317,"User317","Test317","user317@example.com","555-01031","2022-05-01","Individual",801
318,"User318","Test318","user318@example.com","555-01031","2020-08-02","Business",530
319,"User319","Test319","user319@example.com","555-01031","2020-11-11","Premium",649
320,"User320","Test320","user320@example.com","555-01032","2021-06-27","Premium",692
321,"User321","Test321","user321@example.com","555-01032","2020-09-19","Business",697
322,"User322","Test322","user322@example.com","555-01032","2020-06-14","Individual",641
323,"User323","Test323","user323@example.com","555-01032","2021-02-24","Premium",749
324,"User324","Test324","user324@example.com","555-01032","2021-11-20","Premium",680
325,"User325","Test325","user325@example.com","555-01032","2021-10-05","Premium",701
326,"User326","Test326","user326@example.com","555-01032","2022-03-05","Premium",695
327,"User327","Test327","user327@example.com","555-01032","2021-08-09","Individual",714
328,"User328","Test328","user328@example.com","555-01032","2020-02-23","Premium",575
329,"User329","Test329","user329@example.com","555-01032","2022-10-07","Premium",668
330,"User330","Test330","user330@example.com","555-01033","2021-09-30","Premium",592
331,"User331","Test331","user331@example.com","555-01033","2022-08-14","Premium",518
332,"User332","Test332","user332@example.com","555-01033","2022-11-15","Business",818
333,"User333","Test333","user333@example.com","555-01033","2021-07-07","Individual",699
334,"User334","Test334","user334@example.com","555-01033","2021-12-14","Individual",776
335,"User335","Test335","user335@example.com","555-01033","2022-02-27","Premium",520
336,"User336","Test336","user336@example.com","555-01033","2021-11-14","Business",664
337,"User337","Test337","user337@example.com","555-01033","2021-01-01","Premium",612
338,"User338","Test338","user338@example.com","555-01033","2022-10-21","Business",503
339,"User339","Test339","user339@example.com","555-01033","2020-05-24","Premium",807
340,"User340","Test340","user340@example.com","555-01034","2021-03-30","Individual",637
341,"User341","Test341","user341@example.com","555-01034","2020-08-21","Premium",524
342,"User342","Test342","user342@example.com","555-01034","2021-04-26","Premium",606
343,"User343","Test343","user343@example.com","555-01034","2022-03-11","Individual",500
344,"User344","Test344","user344@example.com","555-01034","2021-08-01","Premium",512
345,"User345","Test345","user345@example.com","555-01034","2022-05-28","Individual",630
346,"User346","Test346","user346@example.com","555-01034","2021-10-12","Individual",551
347,"User347","Test347","user347@example.com","555-01034","2021-12-10","Business",700
348,"User348","Test348","user348@example.com","555-01034","2020-09-08","Premium",601
349,"User349","Test349","user349@example.com","555-01034","2020-08-11","Individual",612
350,"User350","Test350","user350@example.com","555-01035","2021-12-14","Business",529
351,"User351","Test351","user351@example.com","555-01035","2021-04-17","Business",526
352,"User352","Test352","user352@example.com","555-01035","2020-01-06","Premium",840
353,"User353","Test353","user353@example.com","555-01035","2020-07-23","Business",576
354,"User354","Test354","user354@example.com","555-01035","2020-01-01","Business",712
355,"User355","Test355","user355@example.com","555-01035","2021-12-03","Business",583
356,"User356","Test356","user356@example.com","555-01035","2022-04-03","Premium",740
357,"User357","Test357","user357@example.com","555-01035","2020-01-11","Business",685
358,"User358","Test358","user358@example.com","555-01035","2020-05-17","Individual",716
359,"User359","Test359","user359@example.com","555-01035","2021-01-14","Business",662
360,"User360","Test360","user360@example.com","555-01036","2021-05-25","Business",525
361,"User361","Test361","user361@example.com","555-01036","2022-11-06","Premium",631
362,"User362","Test362","user362@example.com","555-01036","2022-12-27","Individual",770
363,"User363","Test363","user363@example.com","555-01036","2021-04-18","Individual",583
364,"User364","Test364","user364@example.com","555-01036","2021-04-08","Individual",772
365,"User365","Test365","user365@example.com","555-01036","2021-07-12","Individual",695
366,"User366","Test366","user366@example.com","555-01036","2020-09-01","Individual",813
367,"User367","Test367","user367@example.com","555-01036","2022-04-20","Individual",833
368,"User368","Test368","user368@example.com","555-01036","2021-09-27","Individual",610
369,"User369","Test369","user369@example.com","555-01036","2021-07-21","Business",841
370,"User370","Test370","user370@example.com","555-01037","2020-05-27","Premium",698
371,"User371","Test371","user371@example.com","555-01037","2022-07-23","Business",533
372,"User372","Test372","user372@example.com","555-01037","2022-01-13","Business",845
373,"User373","Test373","user373@example.com","555-01037","2020-02-19","Business",775
374,"User374","Test374","user374@example.com","555-01037","2021-10-15","Premium",585
375,"User375","Test375","user375@example.com","555-01037","2020-12-28","Business",540
376,"User376","Test376","user376@example.com","555-01037","2022-05-31","Business",631
377,"User377","Test377","user377@example.com","555-01037","2020-08-08","Premium",704
378,"User378","Test378","user378@example.com","555-01037","2020-01-01","Individual",846
379,"User379","Test379","user379@example.com","555-01037","2021-07-21","Individual",778
380,"User380","Test380","user380@example.com","555-01038","2022-07-11","Premium",562
381,"User381","Test381","user381@example.com","555-01038","2021-06-08","Individual",748
382,"User382","Test382","user382@example.com","555-01038","2022-11-05","Individual",637
383,"User383","Test383","user383@example.com","555-01038","2021-10-07","Individual",628
384,"User384","Test384","user384@example.com","555-01038","2022-09-29","Premium",747
385,"User385","Test385","user385@example.com","555-01038","2021-06-03","Business",517
386,"User386","Test386","user386@example.com","555-01038","2022-09-10","Individual",530
387,"User387","Test387","user387@example.com","555-01038","2021-09-15","Individual",643
388,"User388","Test388","user388@example.com","555-01038","2021-10-28","Individual",746
389,"User389","Test389","user389@example.com","555-01038","2021-01-19","Premium",630
390,"User390","Test390","user390@example.com","555-01039","2020-03-24","Premium",751
391,"User391","Test391","user391@example.com","555-01039","2021-07-05","Premium",803
392,"User392","Test392","user392@example.com","555-01039","2022-10-04","Individual",607
393,"User393","Test393","user393@example.com","555-01039","2021-07-04","Business",627
394,"User394","Test394","user394@example.com","555-01039","2020-12-12","Business",741
395,"User395","Test395","user395@example.com","555-01039","2021-06-01","Business",743
396,"User396","Test396","user396@example.com","555-01039","2020-12-05","Individual",772
397,"User397","Test397","user397@example.com","555-01039","2021-12-12","Business",551
398,"User398","Test398","user398@example.com","555-01039","2021-10-07","Premium",782
399,"User399","Test399","user399@example.com","555-01039","2022-01-21","Individual",597
400,"User400","Test400","user400@example.com","555-01040","2020-10-03","Premium",718
401,"User401","Test401","user401@example.com","555-01040","2021-07-11","Premium",766
